ScientificName,ChineseName1,ChineseName2,ChineseName3
Chilorhinus platyrhynchus,扁吻唇鼻擬鯙,扁吻唇鼻鰻,扁吻擬鯙、扁吻草鰻、草鰻
Chlopsis nanhaiensis,南海擬鯙,南海草鰻,草鰻
Kaupichthys diodontus,雙齒眶鼻擬鯙,雙齒眶鼻鰻,雙齒眶鼻鰻、草鰻
Anarchias allardicei,褐裸臀鯙,褐高眉鱔,錢鰻、薯鰻、虎鰻
Anarchias cantonensis,坎頓裸臀鯙,坎頓裸臀鱔,錢鰻、薯鰻、虎鰻、廣東裸臀鯙
Channomuraena vittata,條紋鱧鯙,寬帶鱧鱔,環帶裂口鯙、錢鰻、薯鰻、虎鰻、鰻(臺東)
Cirrimaxilla formosa,臺灣鬍鯙,臺灣頜鬚鱔(鬚裸海鱔),錢鰻、薯鰻、虎鰻
Echidna nebulosa,星帶蝮鯙,雲紋蛇鱔(雲紋海鱔),錢鰻、薯鰻、虎鰻、糬鰻(澎湖)、節仔鰻(澎湖)、蠘仔鰻(澎湖)
Echidna polyzona,多環蝮鯙,多帶蛇鱔(多帶海鱔),節仔鰻、錢鰻、薯鰻、虎鰻、糬鰻(澎湖)、粉鰻(澎湖)、硓[石古]鰻(澎湖)
Echidna xanthospilos,黃斑蝮鯙,黃點蛇鱔,錢鰻、薯鰻、虎鰻
Enchelycore bayeri,貝氏勾吻鯙,貝氏勾吻鱔,錢鰻、薯鰻、虎鰻
Enchelycore bikiniensis,比基尼勾吻鯙,比基尼勾吻鱔,比吉尼勾吻鯙、錢鰻、薯鰻、虎鰻
Enchelycore lichenosa,苔斑勾吻鯙,苔斑勾吻鱔,錢鰻、薯鰻、虎鰻
Enchelycore pardalis,豹紋勾吻鯙,豹紋勾吻鱔,錢鰻、薯鰻、虎鰻、雞角仔鰻(澎湖)
Enchelycore schismatorhynchus,裂吻勾吻鯙,裂紋勾吻鱔,雞角仔鰻、龍鰻、錢鰻、薯鰻、虎鰻、糬鰻(澎湖)、紡車索(澎湖) 、咖啡色鰻(澎湖)
Enchelynassa canina,犬齒鋭齒鯙,鋭齒鱔,錢鰻、薯鰻、虎鰻、長牙鼻辦鯙
Gymnomuraena zebra,斑馬裸鯙,條紋裸海鱔,斑馬裸海鯙、錢鰻、薯鰻、虎鰻
Gymnothorax albimarginatus,白緣裸胸鯙,白緣裸胸鱔,錢鰻、薯鰻、虎鰻、白邊裸胸鯙
Gymnothorax berndti,班第氏裸胸鯙,班第氏裸胸鱔,錢鰻、薯鰻、虎鰻、糬鰻(澎湖)、硓[石古]鰻(澎湖)
Gymnothorax buroensis,伯恩斯裸胸鯙,伯恩斯裸胸鱔,錢鰻、薯鰻、虎鰻
Gymnothorax chilospilus,雲紋裸胸鯙,雲紋裸胸鱔,唇斑裸胸鯙、錢鰻、薯鰻、虎鰻、糬鰻(澎湖)、粉鰻(澎湖)
Gymnothorax chlamydatus,黑環裸胸鯙,黑環裸胸鱔,錢鰻、薯鰻、虎鰻
Gymnothorax elegans,美裸胸鯙,美裸胸鱔,錢鰻、薯鰻、虎鰻、雅致裸胸鯙
Gymnothorax enigmaticus,虎紋裸胸鯙,虎紋裸胸鱔,錢鰻、薯鰻、虎鰻、裸胸鯙
Gymnothorax eurostus,黴身裸胸鯙,黴身裸胸鱔,花鰻、錢鰻、薯鰻、虎鰻、糬鰻(澎湖)、米鰻(澎湖)、呆仔鰻(澎湖)
Gymnothorax favagineus,大斑裸胸鯙,豆點裸胸鱔,黑斑裸胸鯙、錢鰻、薯鰻、虎鰻、糬鰻(澎湖)、大點花(澎湖)、花點仔(澎湖)、花鰻(澎湖)
Gymnothorax fimbriatus,花鰭裸胸鯙,細斑裸胸鱔,錢鰻、薯鰻、虎鰻、糬鰻(澎湖)、花鰻(澎湖)、青頭子(澎湖)、繸斑裸胸鯙
Gymnothorax flavimarginatus,黃邊鰭裸胸鯙,黃邊裸胸鱔,錢鰻、薯鰻、虎鰻、鰻(臺東)、糬鰻(澎湖)、青痣(澎湖)、蠘仔鰻(澎湖)、硓[石古]鰻(澎湖)
Gymnothorax formosus,美麗裸胸鯙,美麗裸胸鱔,錢鰻、薯鰻、虎鰻
Gymnothorax fuscomaculatus,褐斑裸胸鯙,褐斑裸胸鱔,錢鰻、薯鰻、虎鰻、褐點裸胸鯙
Gymnothorax gracilicauda,細尾裸胸鯙,細尾裸胸鱔,錢鰻、薯鰻、虎鰻
Gymnothorax herrei,海氏裸胸鯙,海氏裸胸鱔,海瑞氏裸胸鯙、錢鰻、薯鰻、虎鰻
Gymnothorax intesi,英式裸胸鯙,英式裸胸鱔,錢鰻、薯鰻、虎鰻
Gymnothorax isingteena,魔斑裸胸鯙,魔斑裸胸鱔,錢鰻、薯鰻、虎鰻、大斑裸胸鯙
Gymnothorax javanicus,爪哇裸胸鯙,爪哇裸胸鱔,錢鰻、薯鰻、虎鰻、糬鰻(澎湖)
